{
  {
    {0, 0, ENTITY_BASE_TILE},
    {0, 32, ENTITY_BASE_TILE},
    {0, 64, ENTITY_BASE_TILE},
    {0, 96, ENTITY_BASE_TILE},
    {32, 0, ENTITY_BASE_TILE},
    {32, 32, ENTITY_BASE_TILE},
    {32, 64, ENTITY_BASE_TILE},
    {32, 96, ENTITY_BASE_TILE},
    {64, 0, ENTITY_BASE_TILE},
    {64, 32, ENTITY_BASE_TILE},
    {64, 64, ENTITY_BASE_TILE},
    {64, 96, ENTITY_BASE_TILE},
    {96, 0, ENTITY_BASE_TILE},
    {96, 32, ENTITY_BASE_TILE},
    {96, 64, ENTITY_BASE_TILE},
    {96, 96, ENTITY_BASE_TILE},
    {128, 0, ENTITY_BASE_TILE},
    {128, 32, ENTITY_BASE_TILE},
    {128, 64, ENTITY_BASE_TILE},
    {128, 96, ENTITY_BASE_TILE},
  },
  {
    {0, 128, ENTITY_BASE_TILE},
    {0, 160, ENTITY_BASE_TILE},
    {0, 192, ENTITY_BASE_TILE},
    {0, 224, ENTITY_BASE_TILE},
    {32, 128, ENTITY_BASE_TILE},
    {32, 160, ENTITY_BASE_TILE},
    {32, 192, ENTITY_BASE_TILE},
    {32, 224, ENTITY_BASE_TILE},
    {64, 128, ENTITY_BASE_TILE},
    {64, 160, ENTITY_BASE_TILE},
    {64, 192, ENTITY_BASE_TILE},
    {64, 224, ENTITY_BASE_TILE},
    {96, 128, ENTITY_BASE_TILE},
    {96, 160, ENTITY_BASE_TILE},
    {96, 192, ENTITY_BASE_TILE},
    {96, 224, ENTITY_BASE_TILE},
    {128, 128, ENTITY_BASE_TILE},
    {128, 160, ENTITY_BASE_TILE},
    {128, 192, ENTITY_BASE_TILE},
    {128, 224, ENTITY_BASE_TILE},
  },
  {
    {0, 256, ENTITY_BASE_TILE},
    {0, 288, ENTITY_BASE_TILE},
    {0, 320, ENTITY_BASE_TILE},
    {0, 352, ENTITY_BASE_TILE},
    {32, 256, ENTITY_BASE_TILE},
    {32, 288, ENTITY_BASE_TILE},
    {32, 320, ENTITY_BASE_TILE},
    {32, 352, ENTITY_BASE_TILE},
    {64, 256, ENTITY_BASE_TILE},
    {64, 288, ENTITY_BASE_TILE},
    {64, 320, ENTITY_BASE_TILE},
    {64, 352, ENTITY_BASE_TILE},
    {96, 256, ENTITY_BASE_TILE},
    {96, 288, ENTITY_BASE_TILE},
    {96, 320, ENTITY_BASE_TILE},
    {96, 352, ENTITY_BASE_TILE},
    {128, 256, ENTITY_BASE_TILE},
    {128, 288, ENTITY_BASE_TILE},
    {128, 320, ENTITY_BASE_TILE},
    {128, 352, ENTITY_BASE_TILE},
  },
  {
    {0, 384, ENTITY_BASE_TILE},
    {0, 416, ENTITY_BASE_TILE},
    {0, 448, ENTITY_BASE_TILE},
    {0, 480, ENTITY_BASE_TILE},
    {32, 384, ENTITY_BASE_TILE},
    {32, 416, ENTITY_BASE_TILE},
    {32, 448, ENTITY_BASE_TILE},
    {32, 480, ENTITY_BASE_TILE},
    {64, 384, ENTITY_BASE_TILE},
    {64, 416, ENTITY_BASE_TILE},
    {64, 448, ENTITY_BASE_TILE},
    {64, 480, ENTITY_BASE_TILE},
    {96, 384, ENTITY_BASE_TILE},
    {96, 416, ENTITY_BASE_TILE},
    {96, 448, ENTITY_BASE_TILE},
    {96, 480, ENTITY_BASE_TILE},
    {128, 384, ENTITY_BASE_TILE},
    {128, 416, ENTITY_BASE_TILE},
    {128, 448, ENTITY_BASE_TILE},
    {128, 480, ENTITY_BASE_TILE},
  },
  {
    {0, 512, ENTITY_BASE_TILE},
    {0, 544, ENTITY_BASE_TILE},
    {0, 576, ENTITY_BASE_TILE},
    {0, 608, ENTITY_BASE_TILE},
    {32, 512, ENTITY_BASE_TILE},
    {32, 544, ENTITY_BASE_TILE},
    {32, 576, ENTITY_BASE_TILE},
    {32, 608, ENTITY_BASE_TILE},
    {64, 512, ENTITY_BASE_TILE},
    {64, 544, ENTITY_BASE_TILE},
    {64, 576, ENTITY_BASE_TILE},
    {64, 608, ENTITY_BASE_TILE},
    {96, 512, ENTITY_BASE_TILE},
    {96, 544, ENTITY_BASE_TILE},
    {96, 576, ENTITY_BASE_TILE},
    {96, 608, ENTITY_BASE_TILE},
    {128, 512, ENTITY_BASE_TILE},
    {128, 544, ENTITY_BASE_TILE},
    {128, 576, ENTITY_BASE_TILE},
    {128, 608, ENTITY_BASE_TILE},
  },
}
{
  {
    {160, 0, ENTITY_BASE_TILE},
    {160, 32, ENTITY_BASE_TILE},
    {160, 64, ENTITY_BASE_TILE},
    {160, 96, ENTITY_BASE_TILE},
    {192, 0, ENTITY_BASE_TILE},
    {192, 32, ENTITY_BASE_TILE},
    {192, 64, ENTITY_BASE_TILE},
    {192, 96, ENTITY_BASE_TILE},
    {224, 0, ENTITY_BASE_TILE},
    {224, 32, ENTITY_BASE_TILE},
    {224, 64, ENTITY_BASE_TILE},
    {224, 96, ENTITY_BASE_TILE},
    {256, 0, ENTITY_BASE_TILE},
    {256, 32, ENTITY_BASE_TILE},
    {256, 64, ENTITY_BASE_TILE},
    {256, 96, ENTITY_BASE_TILE},
    {288, 0, ENTITY_BASE_TILE},
    {288, 32, ENTITY_BASE_TILE},
    {288, 64, ENTITY_BASE_TILE},
    {288, 96, ENTITY_BASE_TILE},
  },
  {
    {160, 128, ENTITY_BASE_TILE},
    {160, 160, ENTITY_BASE_TILE},
    {160, 192, ENTITY_BASE_TILE},
    {160, 224, ENTITY_BASE_TILE},
    {192, 128, ENTITY_BASE_TILE},
    {192, 160, ENTITY_BASE_TILE},
    {192, 192, ENTITY_BASE_TILE},
    {192, 224, ENTITY_BASE_TILE},
    {224, 128, ENTITY_BASE_TILE},
    {224, 160, ENTITY_BASE_TILE},
    {224, 192, ENTITY_BASE_TILE},
    {224, 224, ENTITY_BASE_TILE},
    {256, 128, ENTITY_BASE_TILE},
    {256, 160, ENTITY_BASE_TILE},
    {256, 192, ENTITY_BASE_TILE},
    {256, 224, ENTITY_BASE_TILE},
    {288, 128, ENTITY_BASE_TILE},
    {288, 160, ENTITY_BASE_TILE},
    {288, 192, ENTITY_BASE_TILE},
    {288, 224, ENTITY_BASE_TILE},
  },
  {
    {160, 256, ENTITY_BASE_TILE},
    {160, 288, ENTITY_BASE_TILE},
    {160, 320, ENTITY_BASE_TILE},
    {160, 352, ENTITY_BASE_TILE},
    {192, 256, ENTITY_BASE_TILE},
    {192, 288, ENTITY_BASE_TILE},
    {192, 320, ENTITY_BASE_TILE},
    {192, 352, ENTITY_BASE_TILE},
    {224, 256, ENTITY_BASE_TILE},
    {224, 288, ENTITY_BASE_TILE},
    {224, 320, ENTITY_BASE_TILE},
    {224, 352, ENTITY_BASE_TILE},
